quarter,q_start,n_filed,n_priced,n_long,n_short,long_ret,short_ret,combined_ret,spy_ret,sector_ret,sector_alpha,alpha,cohort_ic,rf_quarterly,cum_combined,cum_long,cum_spy,drawdown,drawdown_spy,rolling_sharpe,rolling_ic
2023Q1,2023-01-01,3032,911,607,304,-0.02287253051253237,-0.06654740591310737,0.006966833563641593,0.024470197521115063,,,-0.0012656336078104254,0.15943197818742053,0.011291268904431995,0.0069668335636416945,-0.022872530512532352,0.02447019752111501,0.0,0.0,,
2023Q2,2023-04-01,3079,924,616,308,0.09041305478328882,-0.019594943743099138,0.06680701776989226,0.07788905679223514,,,0.04084423703666495,0.144353160963668,0.012362059665740777,0.07423928470721997,0.06547254891649446,0.10426521491778962,0.0,0.0,1.2060890693312951,0.15189256957554426
2023Q3,2023-07-01,3088,927,618,309,-0.05900660228882039,-0.14733104485214354,0.009772613424834263,-0.04458052019468888,,,0.025153197401277236,0.1640973678146663,0.012930143603662625,0.08473740996243406,0.002602633972923263,0.05503649720385462,0.0,-0.044580520194688944,0.931840493286752,0.15596083565525162
2023Q4,2023-10-01,3136,942,628,314,0.2036771142213673,0.09323420073242543,0.10470667590343638,0.0837857405806067,,,0.07295210470513164,0.12345938146787727,0.012920559719459268,0.19831665838770363,0.2068098451712701,0.14343351146164873,0.0,0.0,1.4785344263428688,0.14783547210840803
2024Q1,2024-01-01,3147,945,630,315,0.08167751583972814,0.017323400731874373,0.04867721031586064,0.03917584322127549,,,0.035169698193280426,0.10609136324193681,0.012804383572909916,0.2566473703930412,0.30537907541578635,0.1882284834406227,0.0,0.0,2.265247170380096,0.1345003183720371
2024Q2,2024-04-01,3311,995,663,332,0.01979921301407631,-0.08609567546264485,0.04192024370043284,0.054274089706322554,,,0.021253466583179396,0.12939948609846644,0.012840937997006474,0.30932633440542556,0.33122455379406146,0.25271850274248653,0.0,0.0,1.9462193923263729,0.1307618996557367
2024Q3,2024-07-01,3371,1013,675,338,0.09660748041961197,0.0005742106821530485,0.06418160520500528,0.06947069257458952,,,0.0404899827771663,0.09277393726460784,0.012241202006273877,0.3933610002847512,0.4598308038088279,0.3397457247290099,0.0,0.0,3.7135842914693926,0.11293104201822207
2024Q4,2024-10-01,3468,1041,694,347,0.09705196545969517,-0.023909316128727605,0.07267108234937265,-0.002988013024305549,,,0.07142042903409683,0.057089237064160435,0.010797983554415413,0.4946180522788486,0.6015102525570812,0.3357425470542619,0.0,-0.0029880130243056247,5.984337547560456,0.09633850591729287
2025Q1,2025-01-01,3474,1043,695,348,-0.06556052997799054,-0.10925801173040457,-0.007231812322648734,-0.0465339655251486,,,0.007546556858948526,-0.015093265882502288,0.010336624090259372,0.48380925503072514,0.4965143916342536,0.27358514941916456,-0.007231812322648801,-0.04938293445439257,1.7714587597814053,0.06604234863618309
2025Q2,2025-04-01,3547,1065,710,355,0.13044445726865078,0.055689963608770356,0.06839965030951041,0.07960142210523909,,,0.03890240090008822,-0.005073536837852851,0.010377189247461338,0.5853012892008418,0.6917263992457088,0.3749643384850434,0.0,0.0,2.0489086624422583,0.03242409290210328
2025Q3,2025-07-01,3530,1059,706,353,0.09780314848762005,0.06319675820313032,0.0441365129240366,0.047367526130030355,,,0.027202504086491594,,0.010066468834421194,0.6552709600401465,0.8571825674715636,0.44009299771609367,0.0,0.0,1.8646077161787655,0.012307478114601764
2025Q4,2025-10-01,3510,1053,702,351,0.0017923780359031215,-0.02349368473875955,0.009026146936855264,0.011828203621218855,,,0.005766224325992067,,0.009161912025293706,0.6702116789457784,0.8605113407141616,0.4571267109265713,0.0,0.0,1.0963767180505852,-0.01008340136017757
