quarter,q_start,n_filed,n_priced,n_long,n_short,long_ret,short_ret,combined_ret,spy_ret,sector_ret,sector_alpha,alpha,ic,cohort_ic,top_ic,bot_ic,rf_quarterly,cum_combined,cum_long,cum_spy,cum_sector,drawdown,rolling_sharpe,rolling_ic
2023Q1,2023-01-01,424,85,85,0,0.011531325360850529,,0.011531325360850529,0.0284426998704311,-0.013556451014739714,0.025087776375590242,-0.016911374509580572,-0.06296658198162985,0.31740398768901373,-0.06296658198162985,,0.011291268904431995,0.011531325360850442,0.011531325360850442,0.02844269987043102,-0.013556451014739679,0.0,,
2023Q2,2023-04-01,434,87,87,0,0.14340927198253087,,0.14340927198253087,0.09675124733416603,0.10498633524530564,0.03842293673722523,0.04665802464836486,0.11992418167237733,,0.11992418167237733,,0.012362059665740777,0.15659429631837463,0.15659429631837463,0.12794581389461257,0.09000664211959575,0.0,1.4194042737553485,
2023Q3,2023-07-01,431,87,87,0,-0.06039122195958946,,-0.06039122195958946,-0.028747397520318,-0.061896668086740596,0.0015054461271511086,-0.03164382443927147,0.03521178100167675,,0.03521178100167675,,0.012930143603662625,0.08674615345221648,0.08674615345221648,0.09552030720120563,0.02253886277997652,-0.06039122195958946,0.37332834692618616,
2023Q4,2023-10-01,435,87,87,0,0.25489370673981354,,0.25489370673981354,0.17177392055704094,0.18732950648649196,0.06756420025332154,0.08311978618277256,-0.10822337245753444,0.1661915015518918,-0.10822337245753444,,0.012920559719459268,0.3637509087908861,0.3637509087908861,0.28370212541901063,0.2140905633078083,0.0,1.072949480951333,0.24179774462045278
2024Q1,2024-01-01,441,89,89,0,0.0930289114265558,,0.0930289114265558,0.03281483317395968,0.04371001902580286,0.049318892400752934,0.060214078252596115,0.22201225740551583,0.06787652123786576,0.22201225740551583,,0.012804383572909916,0.4906191712926786,0.4906191712926786,0.3258265965096929,0.26715848492904026,0.0,1.4505420213355709,0.11703401139487879
2024Q2,2024-04-01,454,91,91,0,0.039612663511715,,0.039612663511715,0.04557486122028045,0.01216883576146202,0.02744382775025301,-0.0059621977085654344,-0.11610129001433349,0.035461384896866406,-0.11610129001433349,,0.012840937997006474,0.5496665669492071,0.5496665669492071,0.386250959647779,0.2825783284158847,0.0,1.0460013725679267,0.08984313589554133
2024Q3,2024-07-01,463,93,93,0,0.14494412814552807,,0.14494412814552807,0.09107233600696284,0.10779543200676873,0.03714869613875933,0.05387179213856521,0.08540479245620838,,0.08540479245620838,,0.012241202006273877,0.7742816364119336,0.7742816364119336,0.5125000728347961,0.42083441340999417,0.0,2.621932806161704,0.08984313589554133
2024Q4,2024-10-01,463,93,93,0,-0.04664180479596187,,-0.04664180479596187,0.02130023541920447,-0.007485706606480155,-0.03915609818948172,-0.06794204021516634,-0.0304377667034705,,-0.0304377667034705,,0.010797983554415413,0.6915259386733483,0.6915259386733483,0.5447166804577412,0.4101984638548166,-0.046641804795961916,1.122935548402061,0.05166895306736609
2025Q1,2025-01-01,468,94,94,0,-0.05015587476851595,,-0.05015587476851595,-0.040383456632991976,0.0013768748698337289,-0.05153274963834969,-0.009772418135523974,-0.008619008055485315,,-0.008619008055485315,,0.010336624090259372,0.6066859755255516,0.6066859755255516,0.48233568138221683,0.4121401306811765,-0.09445831904415392,0.22820413397853082,
2025Q2,2025-04-01,472,95,95,0,0.230449068380012,,0.230449068380012,0.12848822905061202,0.12791265553320666,0.10253641284680529,0.10196083932939991,-0.0552491601343785,,-0.0552491601343785,,0.010377189247461338,0.9769452617646457,0.9769452617646457,0.6727983679415501,0.5927707247816152,0.0,0.8357958832258102,
2025Q3,2025-07-01,469,94,94,0,0.08645948587933652,,0.08645948587933652,0.06596788283017889,0.017215706634036557,0.06924377924529991,0.02049160304915763,-0.08585052198099917,,-0.08585052198099917,,0.010066468834421194,1.1478709327084076,1.1478709327084076,0.7831493346764327,0.6201913983147374,0.0,0.669972355946382,
2025Q4,2025-10-01,473,95,95,0,0.12576177134817537,,0.12576177134817537,0.010971586876031508,0.12043323034862415,0.005328540999551178,0.11479018447214388,-0.12469204927211648,,-0.12469204927211648,,0.009161912025293706,1.4179909858330744,1.4179909858330744,0.8027133125147732,0.8153162821968356,0.0,1.518249509146378,
2026Q1,2026-01-01,473,95,95,0,-0.06291341409730175,,-0.06291341409730175,-0.04441727315496568,-0.05791338465654053,-0.005000029440761231,-0.018496140942336065,-0.037290033594624857,,-0.037290033594624857,,0.008839839444195308,1.265866917657815,1.265866917657815,0.7226417028927115,0.7101851720726893,-0.06291341409730189,1.410937217416417,
